intervention_every,mean_tree_cover,min_tree_cover
10,0.22807420833333333,0.18683333333333332
10,0.228244625,0.16258333333333333
10,0.22635233333333332,0.18833333333333332
10,0.22717500000000002,0.17533333333333334
10,0.2240005,0.185
15,0.23542980928689883,0.20241666666666666
15,0.23444921227197346,0.18058333333333335
15,0.2380773631840796,0.19366666666666665
15,0.23424270315091214,0.17191666666666666
15,0.2362221393034826,0.18675
30,0.2481667081260365,0.11766666666666667
30,0.24394262023217245,0.1395
30,0.24486952736318407,0.16908333333333334
30,0.24651343283582092,0.18258333333333332
30,0.24094689054726368,0.15991666666666668
50,0.24513200000000002,0.17058333333333334
50,0.25330220833333333,0.16191666666666665
50,0.25070679166666665,0.17775
50,0.25248491666666667,0.12716666666666668
50,0.25043308333333336,0.12891666666666668
